ID,name,smiles,lgK,delta,ref_num,doi
99,DTTA-BM,CN(CCN(CCN(C)CC(=O)O)CC(=O)O)CC(=O)O,13.12,,71,10.1021/ic00110a019
100,DTPA-TrA,CCCCN(CCCC)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCCC)CCCC)CC(=O)NC)CC(=O)O,17.93,0.08,72,10.1039/b417272h
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,16.28,0.06,48,10.1016/0022-1902(77)80538-1
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,16.7,0.08,73,10.1021/ja01113a020
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.35,0.01,29,10.1016/s0010-8545(99)00237-4
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.37,0.05,74,10.1002/hlca.19540370402
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.4,,75,10.1002/chin.198535056
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.53,,76,10.1135/cccc19781450
101,EDTA,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,17.7,1,22,10.1021/ic00094a021
102,rac-PDTA,CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.15,,76,10.1135/cccc19781450
102,rac-PDTA,CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.21,,77,10.1016/0022-1902(64)80019-1
102,rac-PDTA,CC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,18.87,,78,10.1016/s0003-2670(01)95804-0
103,MePDTA MPDTA,CC(C)(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,17.09,,76,10.1135/cccc19781450
